TICKER,OFTIC,ACTDATS,ESTIMATOR,FPI,MEASURE,VALUE,FPEDATS,ACTTIMS,ANNDATS,ANNDATS_ACT,ANNTIMS_ACT
AAPL,AAPL,19820616,00013,1,EPS,0.0321,19830930,0:00:00,19820616,19831025,0:00:00
AAPL,AAPL,19820714,00315,1,EPS,0.0293,19830930,0:00:00,19820714,19831025,0:00:00
AAPL,AAPL,19820728,00232,1,EPS,0.0286,19830930,0:00:00,19820728,19831025,0:00:00
AAPL,AAPL,19820819,00427,1,EPS,0.0179,19830930,0:00:00,19820819,19831025,0:00:00
AAPL,AAPL,19820908,00191,1,EPS,0.0268,19830930,0:00:00,19820908,19831025,0:00:00
AAPL,AAPL,19821020,00303,1,EPS,0.0314,19830930,0:00:00,19821020,19831025,0:00:00
AAPL,AAPL,19821215,00222,1,EPS,0.0275,19830930,0:00:00,19821215,19831025,0:00:00
AAPL,AAPL,19830105,00007,1,EPS,0.0275,19830930,0:00:00,19830105,19831025,0:00:00
AAPL,AAPL,19830113,00100,1,EPS,0.0275,19830930,0:00:00,19830113,19831025,0:00:00
AAPL,AAPL,19830126,00229,1,EPS,0.0286,19830930,0:00:00,19830126,19831025,0:00:00
AAPL,AAPL,19830202,00192,1,EPS,0.0275,19830930,0:00:00,19830202,19831025,0:00:00
AAPL,AAPL,19830208,00189,1,EPS,0.0261,19830930,0:00:00,19830208,19831025,0:00:00
AAPL,AAPL,19830209,00028,1,EPS,0.0293,19830930,0:00:00,19830209,19831025,0:00:00
AAPL,AAPL,19830209,00092,1,EPS,0.0275,19830930,0:00:00,19830209,19831025,0:00:00
AAPL,AAPL,19830210,00305,1,EPS,0.0189,19830930,0:00:00,19830210,19831025,0:00:00
AAPL,AAPL,19830216,00308,1,EPS,0.0304,19830930,0:00:00,19830216,19831025,0:00:00
AAPL,AAPL,19830216,00318,1,EPS,0.0286,19830930,0:00:00,19830216,19831025,0:00:00
AAPL,AAPL,19830216,00239,1,EPS,0.0286,19830930,0:00:00,19830216,19831025,0:00:00
AAPL,AAPL,19830216,00125,1,EPS,0.0304,19830930,0:00:00,19830216,19831025,0:00:00
AAPL,AAPL,19830216,00261,1,EPS,0.0339,19830930,0:00:00,19830216,19831025,0:00:00
AAPL,AAPL,19830217,00307,1,EPS,0.0268,19830930,0:00:00,19830217,19831025,0:00:00
AAPL,AAPL,19830217,00310,1,EPS,0.0189,19830930,0:00:00,19830217,19831025,0:00:00
AAPL,AAPL,19830223,00299,1,EPS,0.0293,19830930,0:00:00,19830223,19831025,0:00:00
AAPL,AAPL,19830302,00183,1,EPS,0.0286,19830930,0:00:00,19830302,19831025,0:00:00
AAPL,AAPL,19830303,00299,1,EPS,0.0314,19830930,0:00:00,19830303,19831025,0:00:00
AAPL,AAPL,19830303,00239,1,EPS,0.0268,19830930,0:00:00,19830303,19831025,0:00:00
AAPL,AAPL,19830309,00189,1,EPS,0.0271,19830930,0:00:00,19830309,19831025,0:00:00
AAPL,AAPL,19830310,00315,1,EPS,0.0268,19830930,0:00:00,19830310,19831025,0:00:00
AAPL,AAPL,19830310,00305,1,EPS,0.0332,19830930,0:00:00,19830310,19831025,0:00:00
AAPL,AAPL,19830316,00150,1,EPS,0.0286,19830930,0:00:00,19830316,19831025,0:00:00
AAPL,AAPL,19830316,00308,1,EPS,0.0321,19830930,0:00:00,19830316,19831025,0:00:00
AAPL,AAPL,19830317,00316,1,EPS,0.0286,19830930,0:00:00,19830317,19831025,0:00:00
AAPL,AAPL,19830324,00222,1,EPS,0.0286,19830930,0:00:00,19830324,19831025,0:00:00
AAPL,AAPL,19830330,00299,1,EPS,0.0293,19830930,0:00:00,19830330,19831025,0:00:00
AAPL,AAPL,19830330,00242,1,EPS,0.0293,19830930,0:00:00,19830330,19831025,0:00:00
AAPL,AAPL,19830406,00191,1,EPS,0.0321,19830930,0:00:00,19830406,19831025,0:00:00
AAPL,AAPL,19830413,00239,1,EPS,0.0304,19830930,0:00:00,19830413,19831025,0:00:00
AAPL,AAPL,19830504,00192,1,EPS,0.0293,19830930,0:00:00,19830504,19831025,0:00:00
AAPL,AAPL,19830504,00028,1,EPS,0.0304,19830930,0:00:00,19830504,19831025,0:00:00
AAPL,AAPL,19830504,00183,1,EPS,0.0304,19830930,0:00:00,19830504,19831025,0:00:00
AAPL,AAPL,19830504,00190,1,EPS,0.0286,19830930,0:00:00,19830504,19831025,0:00:00
AAPL,AAPL,19830512,00125,1,EPS,0,19830930,0:00:00,19830512,19831025,0:00:00
AAPL,AAPL,19830512,00007,1,EPS,0.0321,19830930,0:00:00,19830512,19831025,0:00:00
AAPL,AAPL,19830512,00307,1,EPS,0.0314,19830930,0:00:00,19830512,19831025,0:00:00
AAPL,AAPL,19830518,00125,1,EPS,0.0314,19830930,0:00:00,19830518,19831025,0:00:00
AAPL,AAPL,19830518,00308,1,EPS,0.0304,19830930,0:00:00,19830518,19831025,0:00:00
AAPL,AAPL,19830518,00028,1,EPS,0.0314,19830930,0:00:00,19830518,19831025,0:00:00
AAPL,AAPL,19830518,00318,1,EPS,0.0293,19830930,0:00:00,19830518,19831025,0:00:00
AAPL,AAPL,19830525,00299,1,EPS,0.0321,19830930,0:00:00,19830525,19831025,0:00:00
AAPL,AAPL,19830526,00242,1,EPS,0.0314,19830930,0:00:00,19830526,19831025,0:00:00
AAPL,AAPL,19830608,00192,1,EPS,0.0332,19830930,0:00:00,19830608,19831025,0:00:00
AAPL,AAPL,19830614,00189,1,EPS,0.0314,19830930,0:00:00,19830614,19831025,0:00:00
AAPL,AAPL,19830614,00150,1,EPS,0.0332,19830930,0:00:00,19830614,19831025,0:00:00
AAPL,AAPL,19830615,00125,1,EPS,0.0375,19830930,0:00:00,19830615,19831025,0:00:00
AAPL,AAPL,19830616,00013,1,EPS,0.0321,19830930,0:00:00,19830616,19831025,0:00:00
AAPL,AAPL,19830621,00086,1,EPS,0.0304,19830930,0:00:00,19830621,19831025,0:00:00
AAPL,AAPL,19830622,00100,1,EPS,0.0332,19830930,0:00:00,19830622,19831025,0:00:00
AAPL,AAPL,19830622,00007,1,EPS,0.0332,19830930,0:00:00,19830622,19831025,0:00:00
AAPL,AAPL,19830707,00310,1,EPS,0.0304,19830930,0:00:00,19830707,19831025,0:00:00
AAPL,AAPL,19830712,00092,1,EPS,0.0321,19830930,0:00:00,19830712,19831025,0:00:00
AAPL,AAPL,19830713,00125,1,EPS,0.0321,19830930,0:00:00,19830713,19831025,0:00:00
AAPL,AAPL,19830714,00315,1,EPS,0.0293,19830930,0:00:00,19830714,19831025,0:00:00
AAPL,AAPL,19830720,00189,1,EPS,0.0314,19830930,0:00:00,19830720,19831025,0:00:00
AAPL,AAPL,19830720,00229,1,EPS,0.0314,19830930,0:00:00,19830720,19831025,0:00:00
AAPL,AAPL,19830727,00261,1,EPS,0,19830930,0:00:00,19830727,19831025,0:00:00
AAPL,AAPL,19830727,00150,1,EPS,0,19830930,0:00:00,19830727,19831025,0:00:00
AAPL,AAPL,19830727,00191,1,EPS,0.0293,19830930,0:00:00,19830727,19831025,0:00:00
AAPL,AAPL,19830728,00232,1,EPS,0.0286,19830930,0:00:00,19830728,19831025,0:00:00
AAPL,AAPL,19830728,00086,1,EPS,0.0289,19830930,0:00:00,19830728,19831025,0:00:00
AAPL,AAPL,19830729,00316,1,EPS,0,19830930,0:00:00,19830729,19831025,0:00:00
AAPL,AAPL,19830803,00222,1,EPS,0.0314,19830930,0:00:00,19830803,19831025,0:00:00
AAPL,AAPL,19830803,00192,1,EPS,0.0304,19830930,0:00:00,19830803,19831025,0:00:00
AAPL,AAPL,19830803,00183,1,EPS,0.0293,19830930,0:00:00,19830803,19831025,0:00:00
AAPL,AAPL,19830803,00007,1,EPS,0.0304,19830930,0:00:00,19830803,19831025,0:00:00
AAPL,AAPL,19830805,00316,1,EPS,0.0293,19830930,0:00:00,19830805,19831025,0:00:00
AAPL,AAPL,19830809,00092,1,EPS,0.0296,19830930,0:00:00,19830809,19831025,0:00:00
AAPL,AAPL,19830809,00308,1,EPS,0.0293,19830930,0:00:00,19830809,19831025,0:00:00
AAPL,AAPL,19830810,00307,1,EPS,0.0304,19830930,0:00:00,19830810,19831025,0:00:00
AAPL,AAPL,19830810,00100,1,EPS,0.0293,19830930,0:00:00,19830810,19831025,0:00:00
AAPL,AAPL,19830811,00239,1,EPS,0.0286,19830930,0:00:00,19830811,19831025,0:00:00
AAPL,AAPL,19830816,00313,1,EPS,0.0314,19830930,0:00:00,19830816,19831025,0:00:00
AAPL,AAPL,19830816,00261,1,EPS,0.0304,19830930,0:00:00,19830816,19831025,0:00:00
AAPL,AAPL,19830816,00192,1,EPS,0.03,19830930,0:00:00,19830816,19831025,0:00:00
AAPL,AAPL,19830817,00150,1,EPS,0.0304,19830930,0:00:00,19830817,19831025,0:00:00
AAPL,AAPL,19830824,00189,1,EPS,0.0296,19830930,0:00:00,19830824,19831025,0:00:00
AAPL,AAPL,19830825,00092,1,EPS,0.0293,19830930,0:00:00,19830825,19831025,0:00:00
AAPL,AAPL,19830825,00125,1,EPS,0.0293,19830930,0:00:00,19830825,19831025,0:00:00
